영업 내용,영업일,신규or기존,지역그룹,거래처,거래처 담당자,담당자,상태,영업 제품,업무 내용,Action_Type,검토상태
충주 건국대병원 산부인과 신규 아이템 소개,2025/11/25,기존 병원,세종충북,건국대학교 충주병원 (https://app.notion.com/p/3c4ee56de1d148f59f4b8f2c63de6f08?pvs=21),산부인과 교수,이재덕,영업완료,,"류기성교수는 면담 안되다고함. 정대영교수를 만나야함. 수요일, 목요일 오후 시간대 맞춰 방문예정.",,완료
충주 샘여성산부인과 신규 아이템 소개,2025/11/25,신규 병원,세종충북,충주 샘여성산부인과 (https://app.notion.com/p/3b5fd9fcb8cd811182a1deb1a81048ff?pvs=21),산부인과 원장,이재덕,영업완료,,면담 안 됨.,,완료
오송 베스티안병원 신규 아이템 소개,2025/11/24,기존 병원,세종충북,베스티안병원 (https://app.notion.com/p/6ea8b5b9b63a4e1a8fc136063684bb9a?pvs=21),"관리팀 물류팀 김성모팀장, 구매",이재덕,영업완료,,"응급봉합킷 디테일, 내부적으로 비싸다고 결론났다고함. 타 제품 디테일 예정.",,완료
옥천 성모병원 견적 상담,2025/11/24,기존 병원,세종충북,옥천성모병원 (https://app.notion.com/p/1d6490ab72a64fa7a1e874bed8d3ee80?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,응급키트 사용못함. 세종에서 커스텀 제안했었음. 드레싱키트 견적문의함. 대송으로 간납해야됨.,,완료
옥천 이산부인과 정보 수집,2025/11/24,신규 병원,세종충북,옥천 이산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81efbbd3e2a724d6455f?pvs=21),산부인과 간호사,이재덕,영업완료,,바이옵시 디테일하였으나 원장님 답변없음. 다음에 재방문.,,완료
옥천 서울os 정보 수집,2025/11/24,신규 병원,세종충북,옥천 서울정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81d096c2f72aaa4f0eba?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,소공포 사용해봤으며 좋다고함. 원장님 사용보류. 환자부담금으로 망설인다고함.,,완료
옥천 삼성gs 신규 아이템 소개,2025/11/24,신규 병원,세종충북,옥천삼성외과 (https://app.notion.com/p/3b5fd9fcb8cd81259020f85dd78480b4?pvs=21),일반외과 원장,이재덕,영업완료,,면담 거절됨.,,완료
보은 우리os 신규 아이템 소개,2025/11/24,신규 병원,세종충북,보은우리정형외과 (https://app.notion.com/p/3b5fd9fcb8cd810d8a4dcd2405eb241f?pvs=21),정형외과 사무장,이재덕,영업완료,,[비고] 소공포 디테일 설명함. 아직 사용계획 없음.,,완료
보은 한양병원 샘플 제공,2025/11/24,신규 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),"관리팀 구매팀, 구매",이재덕,영업완료,,스카노스겔 샘플제공함. 상대적으로 저렴한 가격대 강조함.,,완료
보은 서울gs 신규 아이템 소개,2025/11/24,신규 병원,세종충북,보은 서울외과 (https://app.notion.com/p/3b5fd9fcb8cd818da589d1543bcc0e77?pvs=21),일반외과 원장,이재덕,영업완료,,면담 안 됨,,완료
충북대 납품,2025/11/24,기존 병원,세종충북,충북대학교병원 (https://app.notion.com/p/ba520b40010143dfae0d3ff058b73012?pvs=21),산부인과 부인과방장,이은필,영업완료,,"담당자변경됨
[비고] 핸드피스 기존제품 및 신규제품 다 테스트 실시 이상없음",,완료
천안 본정형외과병원 신규 아이템 소개,2025/11/24,신규 병원,천안아산,천안 본정형외과병원 (https://app.notion.com/p/3b5fd9fcb8cd810dab96d245c336631e?pvs=21),정형외과 원무과장,최진웅,영업완료,,담당자없어서 전달해주신다고함,,완료
청주 해피맘obgy 정보 수집,2025/11/21,신규 병원,세종충북,청주 해피맘산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81949511cef53cb9b9df?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,사무장이 원장 동생이었음. 바이옵시 사용은 극히 드물다고 함. 듀얼튤립 디테일 설명.,,완료
청주 미래여성obgy 정보 수집,2025/11/21,신규 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,원장님 아직 말씀없다고 함. 재방문 예정.,,완료
충북대학교 정보 수집,2025/11/21,기존 병원,세종충북,충북대학교병원 (https://app.notion.com/p/ba520b40010143dfae0d3ff058b73012?pvs=21),비뇨의학과 Pa 간호사,이재덕,영업완료,,방광경 내용 보고했음. 하이겐트(Hygent) 외 브로셔 제공함. 외래에서 쓸만한 제품 선택해서 재방문 예정.,,완료
효성병원 신규 아이템 소개,2025/11/21,기존 병원,세종충북,청주효성병원 (https://app.notion.com/p/4ed256ac06214acc9c65ebb903123c3c?pvs=21),"관리팀 총무과, 구매",이재덕,영업완료,,"응급킷, c line 킷 과장님들께 설명해보겠다고함.",,완료
청주21세기 병원 신규 아이템 소개,2025/11/21,신규 병원,세종충북,청주21세기병원 (https://app.notion.com/p/21-3b5fd9fcb8cd811c956cd4c532c429a2?pvs=21),"관리팀 소공포 기존디테일 하였으나 미온적임. 하이겐트 디테일 예정., 구매",이재덕,영업완료,,,,완료
서로손병원 신규 아이템 소개,2025/11/21,신규 병원,세종충북,서로손병원 (https://app.notion.com/p/3b5fd9fcb8cd810e8a71d530d2c270ec?pvs=21),Fm 원장,이재덕,영업완료,,[비고] 병원 소모품 구매설득함. 아직은 미온적임. 지속방문예정.,,완료
다나여성병원 정보 수집,2025/11/21,신규 병원,세종충북,다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd8151a796f3cdc8a9a1c3?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,바이옵시 자이네콜라(Gynecola) 원장님 별도지시없음. 여쭤봐 준다고 함.,,완료
천안 21세기 병원 신규 아이템 소개,2025/11/21,신규 병원,천안아산,천안 21세기 병원 (https://app.notion.com/p/21-3b5fd9fcb8cd8102b200fd8c3969db67?pvs=21),정형외과 원무과장,최진웅,영업완료,,회의때 올려보겠다고함,,완료
천안 나은필병원 신규 아이템 소개,2025/11/21,신규 병원,천안아산,천안 나은필병원 (https://app.notion.com/p/3b5fd9fcb8cd813e9fe8dc65f03f4c00?pvs=21),정형외과 대표원장님,최진웅,영업완료,,"원장님 너무피곤하다하여 다음주 금요일 방문요청 
[다음 방문 예정일] 2025/11/28",,완료
보은 한양병원 견적 상담,2025/11/20,신규 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,응급키트 발주받음. 추가제품 랜딩 상담.,,완료
보은 우리os 신규 아이템 소개,2025/11/20,신규 병원,세종충북,보은우리정형외과 (https://app.notion.com/p/3b5fd9fcb8cd810d8a4dcd2405eb241f?pvs=21),정형외과 사무장,이재덕,영업완료,,소공포 디테일 설명. 원장님 부정적임.,,완료
보은 마음편한병원 신규 아이템 소개,2025/11/20,신규 병원,세종충북,보은 마음편한병원 (https://app.notion.com/p/3b5fd9fcb8cd81dcbc72c857a27ed6c7?pvs=21),"원장, 정신과 원무과",이재덕,영업완료,,"지인소개로 원장님 면담, 의료소모품 말씀드림.",,완료
청주 프라우산부인과 신규 아이템 소개,2025/11/20,신규 병원,세종충북,청주 프라우산부인과 (https://app.notion.com/p/3b5fd9fcb8cd8188a2daf2930eb04eac?pvs=21),산부인과 사무장,이재덕,영업완료,,"Dvt 디테일 설명함, 병원 문제로 원장 심기가 별로라고함. 지속방문예정.",,완료
청주 성모병원 신규 아이템 소개,2025/11/20,기존 병원,세종충북,청주성모병원 (https://app.notion.com/p/ed182db368ac4f5f8de44f30f7d610ad?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,응급키트 비급여 사용이 힘들다고함. 세종에서 대모도 했었고 맞춤구성으로 oem해주겠다고함. Er에서 구매희망하면 우선 연락주겠다고함.,,완료
청주 미즈맘obgy 샘플 제공,2025/11/20,기존 병원,서산당진,미즈맘산부인과의원 (https://app.notion.com/p/3b2fd9fcb8cd81eda344f77d3111bddb?pvs=21),산부인과 주명식 원장,이재덕,영업완료,,바이옵시 자이네콜라(Gynecola) 샘플 제공. 고려해보겠다고함.,,완료
충북대학교병원 정보 수집,2025/11/20,기존 병원,세종충북,충북대학교병원 (https://app.notion.com/p/ba520b40010143dfae0d3ff058b73012?pvs=21),비뇨의학과 Pa 간호사,이재덕,영업완료,,Pa 출퇴근시간이 7~3시임. 내일 11시경 재방문 예정임. 진료과별 위치 파악 및 정보 수집.,,완료
미즈러브 납품,2025/11/20,기존 병원,서울경기,미즈러브여성비뇨기과의원 (https://app.notion.com/p/3b2fd9fcb8cd8153b7ddcda1aaa58179?pvs=21),산부인과 차옥연,이은필,영업완료,,"포셉RZ 및 타회사 카다로그 전달하면서 설명드림
원장님께 전달한다고 함
세정용품도 브로셔 보여드림, 단가는 더 비싼거 같음
[다음 방문 예정일] 2025/11/25",,완료
제천 미래산부인과 견적 상담,2025/11/19,기존 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),산부인과 원장,이재덕,영업완료,,원하는 타입이 아니라함. 찾아서 보내주면 알아봐주겠다고 했음.,,완료
제천 연세미즈산부인과 견적 상담,2025/11/19,신규 병원,세종충북,제천연세미즈산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81319d23cc6f3fa1ae21?pvs=21),산부인과 원장,이재덕,영업완료,,원내 의료소모품 달라고 설득함.,,완료
한기정산부인과 샘플 제공,2025/11/19,신규 병원,세종충북,한기정산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81069e71df553a69b51f?pvs=21),산부인과 원장,이재덕,영업완료,,"바이옵시, 자이네콜라(Gynecola) 샘플제공, 주문 유도하겠음.",,완료
서울os 신규 아이템 소개,2025/11/19,신규 병원,세종충북,서울정형외과 (https://app.notion.com/p/3b5fd9fcb8cd810d8bb6fe25169667a8?pvs=21),정형외과 원장,이재덕,영업완료,,소공포 디테일 설명함. 케이스가 적다고 하나 지속방문예정.,,완료
제천 연세올바른통증 신규 아이템 소개,2025/11/19,신규 병원,세종충북,제천 연세올바른통증 (https://app.notion.com/p/3b5fd9fcb8cd81dfb165e3b1d162fe15?pvs=21),통증 원장,이재덕,영업완료,,면담 안 됨. 재방문 예정.,,완료
제천 굿모닝os 신규 아이템 소개,2025/11/19,신규 병원,세종충북,제천 굿모닝정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81309f0de28eec64d5fb?pvs=21),정형외과 원장,이재덕,영업완료,,면담 안 됨. 재방문 예정.,,완료
제천 명지병원 신규 아이템 소개,2025/11/19,신규 병원,세종충북,제천명지병원 (https://app.notion.com/p/3b5fd9fcb8cd811f81d5cccde2960431?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,담당자 부재중. 재방문 예정.,,완료
충주의료원 신규 아이템 소개,2025/11/19,기존 병원,세종충북,충주의료원 (https://app.notion.com/p/30ebb0603a8844aca2912287cf1fca29?pvs=21),"관리팀 재무팀, 구매",이재덕,영업완료,,응급키트 소개함. 신포괄이라 조금힘듬. 유통기한 긴제품이니 비상용으로 구매하라고 이야기함.,,완료
백제종합병원 소공포1 봉합키트자료,2025/11/19,기존 병원,대전논산,백제종합병원 (https://app.notion.com/p/24843013ded94b9f9010c3329bdcdcf6?pvs=21),수술실 수선생님께 전달요청(답변주신다고함),최진웅,영업완료,,"수선생님께 전달요청(답변주신다고함)
[제공 샘플] 소공포1",,완료
음성 무척편한os 신규 아이템 소개,2025/11/18,신규 병원,세종충북,음성무척편한정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81609d2efcfe327a83dd?pvs=21),정형외과 최성규 부장,이재덕,영업완료,,소공포 샘플전달.,,완료
음성 금왕연합os 신규 아이템 소개,2025/11/18,신규 병원,세종충북,음성 금왕연합정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81a2b7edfa96ede19361?pvs=21),"관리팀 소공포 디테일, 구매, 사용 미정임.",이재덕,영업완료,,,,완료
음성 서울척척통증 신규 아이템 소개,2025/11/18,신규 병원,세종충북,음성 서울척척통증 (https://app.notion.com/p/3b5fd9fcb8cd810bba93fd3ced36ed20?pvs=21),"관리팀 최종혁 팀장, 구매",이재덕,영업완료,,소공포 디테일 설명. 긍정적임.,,완료
음성 서울신os 샘플 제공,2025/11/18,신규 병원,세종충북,음성 서울신정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81559116fb6da81ed452?pvs=21),정형외과 원장,이재덕,영업완료,,"소공포샘플제공, 기존 소공포 접착문제 있었다고함. 긍정적임.",,완료
음성 서울연합의원 신규 아이템 소개,2025/11/18,신규 병원,세종충북,음성 서울연합의원 (https://app.notion.com/p/3b5fd9fcb8cd81d39700df0024562865?pvs=21),"관리팀 원무과, 구매",이재덕,영업완료,,소공포 디테일 설명.,,완료
진천 중앙제일병원 신규 아이템 소개,2025/11/18,신규 병원,세종충북,진천 중앙제일병원 (https://app.notion.com/p/3b5fd9fcb8cd81ffb993e4f28cb46c4a?pvs=21),"관리팀 성백현 과장, 구매",이재덕,영업완료,,"응급킷, 소공포 디테일 설명.",,완료
진천 바른정형외과 신규 아이템 소개,2025/11/18,신규 병원,세종충북,진천 바른정형외과 (https://app.notion.com/p/3b5fd9fcb8cd8107a7b1d3d3ee1cdb0f?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,소공포디테일 설명.,,완료
진천 미래마취통증 신규 아이템 소개,2025/11/18,신규 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),"관리팀 이동수 부장, 구매",이재덕,영업완료,,소공포 디테일 설명.,,완료
진천 한사랑외과 신규 아이템 소개,2025/11/18,신규 병원,세종충북,진천 한사랑외과 (https://app.notion.com/p/3b5fd9fcb8cd813fb474d1a26953c8be?pvs=21),일반외과 원장,이재덕,영업완료,,소공포디테일 설명.,,완료
오창호수병원 신규 아이템 소개,2025/11/18,신규 병원,세종충북,오창호수병원 (https://app.notion.com/p/3b5fd9fcb8cd817aba85c5616a2e4edd?pvs=21),정형외과 Os 원장,이재덕,영업완료,,면담 대기하였으나 다음에 보자고 함.,,완료
오창 미즈산부인과 신규 아이템 소개,2025/11/18,신규 병원,세종충북,오창 미즈산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81ad8c06d266ccd490bf?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,바이옵시 디테일 설명함. 사용계획은 없다고함. 지혈재로 재방문 예정.,,완료
오창 중앙병원 신규 아이템 소개,2025/11/18,신규 병원,세종충북,오창 중앙병원 (https://app.notion.com/p/3b5fd9fcb8cd817a8f99ec0703276ecd?pvs=21),"관리팀 원무과장, 구매",이재덕,영업완료,,스카노스겔 디테일 설명.,,완료
담소유외과 신규 아이템 소개,2025/11/18,기존 병원,서울경기,담소유병원 (https://app.notion.com/p/3b2fd9fcb8cd8189b20fed5f65b5992d?pvs=21),일반외과 간호부장,이은필,영업완료,,"간호부장미팅, 응급킷트는 조만간 연락줄 예정
소노젤 보류, 하이겐트(Hygent) 원장님들과 상의필요
소공포 가격은 좋은데 필요시 발주
[다음 방문 예정일] 2025/11/20
[제공 샘플] 하이겐트(Hygent)",,완료
미즈러브여성비뇨기과 결재,2025/11/18,기존 병원,서울경기,미즈러브여성비뇨기과의원 (https://app.notion.com/p/3b2fd9fcb8cd8153b7ddcda1aaa58179?pvs=21),산부인과 차옥연,이은필,영업완료,,"결재완료, 포셉 휘어진거 문의",,완료
서주태비뇨의학과의원 결재,2025/11/18,기존 병원,서울경기,서주태 비뇨기과 의원 (https://app.notion.com/p/3b2fd9fcb8cd81e1a2b0cf50b751133e?pvs=21),비뇨의학과 원장님,이은필,영업완료,,결재완료,,완료
천안 서울대정병원 신규 아이템 소개,2025/11/18,신규 병원,천안아산,천안 서울대정병원 (https://app.notion.com/p/3b5fd9fcb8cd81a2a08be8a536cff8f6?pvs=21),정형외과 구자욱원장(척추),최진웅,영업완료,,설명+카다로그 명함전달 혼자 결정할수있는사항 아님 (다른원장도 가보기),,완료
천안 센텀신경과병원 신규 아이템 소개,2025/11/18,신규 병원,천안아산,천안 센텀신경과병원 (https://app.notion.com/p/3b5fd9fcb8cd81f6a743d3d47cad4507?pvs=21),정형외과 이병용원장,최진웅,영업완료,,"안만나줌 
[비고] 김우석 원장 노려보기",,완료
한국병원 신규 아이템 소개,2025/11/17,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),"관리팀 신문식 팀장님, 구매",이재덕,영업완료,,"소공포, 응급킷 디테일 설명. 포괄수과병원이라 검토해본다고 함.",,완료
효성병원 신규 아이템 소개,2025/11/17,기존 병원,세종충북,청주효성병원 (https://app.notion.com/p/4ed256ac06214acc9c65ebb903123c3c?pvs=21),"관리팀 구매과 주임, 구매",이재덕,영업완료,,과장님 외근중이라 금주 금요일 3시 약속잡음.,,완료
마디사랑병원 신규 아이템 소개,2025/11/17,신규 병원,세종충북,마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd819082a8cd2c666e0e4a?pvs=21),"관리팀 구매과 담당 부재중. 기다리다 연락처 남기고옴., 구매",이재덕,영업완료,,,,완료
뿌리병원 신규 아이템 소개,2025/11/17,신규 병원,세종충북,뿌리병원 (https://app.notion.com/p/3b5fd9fcb8cd81f39984c99b28445d1b?pvs=21),"관리팀 구매과 주임, 구매",이재덕,영업완료,,코매드 전납인데 소공포를 원장님들이 타업제 말고 코매드로 주문하라고 했다함.,,완료
율량 유항외과 신규 아이템 소개,2025/11/17,신규 병원,세종충북,율량 유항외과 (https://app.notion.com/p/3b5fd9fcb8cd818e9bdcc633911d3c37?pvs=21),일반외과 원장,이재덕,영업완료,,면담 안 됨. 재방문예정.,,완료
청주자모산부인과 신규 아이템 소개,2025/11/17,신규 병원,세종충북,청주자모산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81508ae9f0abe162b893?pvs=21),산부인과 원장,이재덕,영업완료,,"듀얼튤립, 자이네콜라(Gynecola) 사용방법 설명드림, 소모품은 산부인과신협에서 구입하고 있음. 신규처 유도함.",,완료
유로센터비뇨기과 신규 아이템 소개,2025/11/17,기존 병원,세종충북,유로센터비뇨기과 (https://app.notion.com/p/66c5580992924199b3c8abdcb3021407?pvs=21),비뇨의학과 원장,이재덕,영업완료,,면담안 됨. 사무장만 면담이 됨.,,완료
가경유항외과 신규 아이템 소개,2025/11/17,신규 병원,세종충북,가경유항외과 (https://app.notion.com/p/3b5fd9fcb8cd818a8007f4013ec40737?pvs=21),일반외과 원장,이재덕,영업완료,,강충훈원장과 지인임. 소공포 외 디테일 설명. 조만간 식사하기로함.,,완료
대전 복십자 신규 아이템 소개,2025/11/14,신규 병원,대전논산,대전 복십자 (https://app.notion.com/p/3b5fd9fcb8cd8142b4c5cbbe2634d667?pvs=21),"관리팀, 구매",이재덕,영업완료,,"[비고] 일부 이전하였음, 결핵협회에서 운영하는 병원임.",,완료
대전 새손병원 신규 아이템 소개,2025/11/14,신규 병원,대전논산,대전 새손병원 (https://app.notion.com/p/3b5fd9fcb8cd81d890a1c6f053ad41f7?pvs=21),"관리팀 총무부장, 구매",이재덕,영업완료,,"[비고] 소공포, 응급키트 병원장님께 보고 후 샘플 구입하겠다고 함.",,완료
옥천 성모병원 신규 아이템 소개,2025/11/14,기존 병원,세종충북,옥천성모병원 (https://app.notion.com/p/1d6490ab72a64fa7a1e874bed8d3ee80?pvs=21),"관리팀 구매과 권용과장, 구매",이재덕,영업완료,,[비고] 응급킷 설명드림. 관심있어 하심. 재방문 예정.,,완료
보은 한양병원 견적 상담,2025/11/14,신규 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,[비고] Er에서 반응이 좋아 병원장님께 구매 발주 기안서 올려보기로 함. 연락 주겠닥함.,,완료
다나여성병원 샘플 제공,2025/11/14,신규 병원,세종충북,다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd8151a796f3cdc8a9a1c3?pvs=21),"대표원장, 산부인과 원무부장",이재덕,영업완료,EN-Shot Biopsy 2.3cup (https://app.notion.com/p/EN-Shot-Biopsy-2-3cup-3b2fd9fcb8cd81448fb8f538a32b9a8a?pvs=21),"[비고] 지인과 동반방문함. 원무과장님 면담후 이오영대표원장님 면담함. 바이옵시, 자이네콜라(Gynecola) 사용 설득함. 타원장님과 상의 후 결정해보겠다고 함. 
[제공 샘플] 바이옵시, 지혈제",,완료
청주21세기병원 신규 아이템 소개,2025/11/14,신규 병원,세종충북,청주21세기병원 (https://app.notion.com/p/21-3b5fd9fcb8cd811c956cd4c532c429a2?pvs=21),"관리팀 류현수 대리, 구매",이재덕,영업완료,,[비고] 소공포 디테일 후 샘플제공 함. 재방문예정임.,,완료
해피맘 샘플 제공,2025/11/13,신규 병원,세종충북,해피맘 (https://app.notion.com/p/3b5fd9fcb8cd819ab202c08160f01110?pvs=21),산부인과 전창희 원무과장,이재덕,영업완료,,[비고] 바이옵시디테일 콜라템프 샘플제공. 재방문 예정,,완료
유항 신규 아이템 소개,2025/11/13,신규 병원,세종충북,유항 (https://app.notion.com/p/3b5fd9fcb8cd81f8ba37fd152bfc41e5?pvs=21),일반외과 원장,이재덕,영업완료,,[비고] 수술들어가서 다음 방문예정,,완료
우리항 신규 아이템 소개,2025/11/13,신규 병원,세종충북,우리항 (https://app.notion.com/p/3b5fd9fcb8cd81339c07c939b1fde64e?pvs=21),일반외과 원장,이재덕,영업완료,,[비고] 수술중이라함. 재방문예정.,,완료
유로센터 신규 아이템 소개,2025/11/13,기존 병원,세종충북,유로센터비뇨기과 (https://app.notion.com/p/66c5580992924199b3c8abdcb3021407?pvs=21),비뇨의학과 사무장,이재덕,영업완료,,[비고] 원장님 면담은 못함. 재방문시 원장 면담예정.,,완료
마디사랑병원 신규 아이템 소개,2025/11/13,신규 병원,세종충북,마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd819082a8cd2c666e0e4a?pvs=21),정형외과 이종혁 행정실장,이재덕,영업완료,,"[비고] 병원 미팅있어 인사만 드림, 재방문 예정.",,완료
성모병원 샘플 제공,2025/11/13,신규 병원,세종충북,옥천성모병원 (https://app.notion.com/p/1d6490ab72a64fa7a1e874bed8d3ee80?pvs=21),"관리팀 최홍근 주임, 구매",이재덕,영업완료,,"[비고] 소공포, 응급킷 디테일, 보험과 상담해본다고 함.",,완료
효성h 신규 아이템 소개,2025/11/13,기존 병원,세종충북,청주효성병원 (https://app.notion.com/p/4ed256ac06214acc9c65ebb903123c3c?pvs=21),"관리팀 구매과 박민석주임, 구매",이재덕,영업완료,,"[비고] 개원 30주년 행사했음, 기다려서 인사 드림. 과장님은 못뵘. 차주 약속잡고 다시보기로 함.",,완료
하임브릿지 신규 아이템 소개,2025/11/13,신규 병원,세종충북,하임브릿지 (https://app.notion.com/p/3b5fd9fcb8cd81b7ab03c4969276e0c1?pvs=21),정형외과 원장,이재덕,영업완료,,[비고] 면담 안 됨. 차후 방문예정.,,완료
분당제일 납품,2025/11/13,기존 병원,서울경기,분당제일여성병원 (https://app.notion.com/p/3b2fd9fcb8cd816fa819fecaebcc1b6d?pvs=21),산부인과 수술실,이은필,영업완료,,수술포2박스 루프 5개,,완료
유엔비외과 납품 및 하이겐트(Hygent) 설명,2025/11/13,기존 병원,서울경기,유엔비 외과의원 (https://app.notion.com/p/3b2fd9fcb8cd8111940acecbbea315e5?pvs=21),"일반외과 차명기간호사, 행정부장",이은필,영업완료,,하이겐트(Hygent) 설명,,완료
세종시온산후조리원 좌욕기설치,2025/11/12,신규 병원,대전논산,세종시온산후조리원 (https://app.notion.com/p/3b5fd9fcb8cd8148829dd60f205ac06e?pvs=21),산후조리원 부원장,이은필,영업완료,,10대 설치완료,,완료
미래 견적 상담,2025/11/12,기존 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),산부인과 원장,이재덕,영업완료,,"[비고] Mgb제품으로 4k, hd 견적, 원내소모품 견적서 작성해서 방문할예정",,완료
킴스 신규 아이템 소개,2025/11/12,신규 병원,세종충북,킴스 (https://app.notion.com/p/3b5fd9fcb8cd8141bfbdcd99c017f886?pvs=21),정형외과 원장,이재덕,영업완료,,"[비고] 소공포, 봉합키트 디테일 함, 포셉 시저등 보고 싶어함.",,완료
연세미즈 신규 아이템 소개,2025/11/12,신규 병원,세종충북,연세미즈 (https://app.notion.com/p/3b5fd9fcb8cd81b9a4c7d018ae730c8f?pvs=21),산부인과 원장,이재덕,영업완료,,[비고] 원내 수술포등 타 품목 랜딩시도함. 긍정적임. 간호사 통해 주문하겠다고함.,,완료
한기정 신규 아이템 소개,2025/11/12,신규 병원,세종충북,한기정 (https://app.notion.com/p/3b5fd9fcb8cd81c0af49db8b4bcf51eb?pvs=21),산부인과 원장,이재덕,영업완료,,"[비고] 바이옵시 디태일, 사용계획은 아직 없음. 지속방문예정.",,완료
노 신규 아이템 소개,2025/11/12,신규 병원,세종충북,노 (https://app.notion.com/p/3b5fd9fcb8cd8121afffc1b5f4b8385a?pvs=21),정형외과 원장,이재덕,영업완료,,[비고] 소공포 디테일 함. 처후 방문시 샘플제공 예정.,,완료
충주건대h 샘플 제공,2025/11/12,기존 병원,세종충북,건국대학교 충주병원 (https://app.notion.com/p/3c4ee56de1d148f59f4b8f2c63de6f08?pvs=21),"관리팀 구매과 채낙규, 구매",이재덕,영업완료,,[비고] 응급킷 소개. Er 소개하기로함.,,완료
세브란스 신규 아이템 소개,2025/11/12,신규 병원,서울경기,세브란스 (https://app.notion.com/p/3b5fd9fcb8cd8151945ec4f0367ce0f8?pvs=21),산부인과,이재덕,영업완료,,"[비고] 면담 안 됨, 소문이 별로임.",,완료
최경남 신규 아이템 소개,2025/11/12,신규 병원,세종충북,최경남 (https://app.notion.com/p/3b5fd9fcb8cd815aa642d2cf1bec9250?pvs=21),산부인과 원장,이재덕,영업완료,,[비고] 면담 안 됨. 여의사 나이많음. 재방문 예정없음.,,완료
프라우삼성 신규 아이템 소개,2025/11/12,신규 병원,세종충북,프라우삼성 (https://app.notion.com/p/3b5fd9fcb8cd810585f1ff3ec81bedbd?pvs=21),산부인과 원장,이재덕,영업완료,,[비고] 시간 맞춰갔으나 면담 못함. 사무장 가끔 만나러 가야겠음. 다른 병원에 더 투자할 예정임.,,완료
음성무척편한os 신규 아이템 소개,2025/11/11,신규 병원,세종충북,음성무척편한정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81609d2efcfe327a83dd?pvs=21),정형외과 면담거부,이재덕,영업완료,,[비고] 면담안 됨,,완료
음성 제일좋은병원 신규 아이템 소개,2025/11/11,신규 병원,세종충북,음성 제일좋은병원 (https://app.notion.com/p/3b5fd9fcb8cd81878907f5e8be760179?pvs=21),"관리팀 오선균과장, 구매",이재덕,영업완료,,"소공포제공
[비고] 비급여제품 사용 꺼린다고함
[다음 방문 예정일] 2025/11/25",,완료
류시나 신규 아이템 소개,2025/11/11,신규 병원,세종충북,류시나 (https://app.notion.com/p/3b5fd9fcb8cd81f084a9e7ae58bcb24b?pvs=21),산부인과 원장님,이재덕,영업완료,,"바이옵시 디테일
[비고] 사용하지 않는다함, 타제품 디테일 예정.",,완료
금왕연합 신규 아이템 소개,2025/11/11,신규 병원,세종충북,금왕연합 (https://app.notion.com/p/3b5fd9fcb8cd8100b64dc4de800afd9f?pvs=21),정형외과 심종일 원무과장,이재덕,영업완료,,"소공포 샘플제공
[비고] 원장님께 말씀해본다고 함, 비급여제품 어렵다고 함.",,완료
